App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Last Updated
"KAYAK Flights, Hotels & Cars",TRAVEL_AND_LOCAL,4.5,216388,19M,"10,000,000+",Free,0,Everyone,"July 31, 2018"
Cheapflights – Flight Search,TRAVEL_AND_LOCAL,4.4,47780,19M,"5,000,000+",Free,0,Everyone,"July 31, 2018"
KLM - Royal Dutch Airlines,TRAVEL_AND_LOCAL,3.7,7705,40M,"1,000,000+",Free,0,Everyone,"August 6, 2018"
Skyscanner,TRAVEL_AND_LOCAL,4.5,481546,29M,"10,000,000+",Free,0,Everyone,"August 6, 2018"
Lufthansa,TRAVEL_AND_LOCAL,3.6,14544,43M,"1,000,000+",Free,0,Everyone,"July 27, 2018"
easyJet: Travel App,TRAVEL_AND_LOCAL,4.4,134895,50M,"10,000,000+",Free,0,Everyone,"July 1, 2018"
LateRooms: Find Hotel Deals,TRAVEL_AND_LOCAL,4.1,2419,13M,"1,000,000+",Free,0,Everyone,"May 29, 2018"
"Priceline Hotel Deals, Rental Cars & Flights",TRAVEL_AND_LOCAL,4.4,48930,15M,"5,000,000+",Free,0,Everyone,"July 26, 2018"
HOTEL DEALS,TRAVEL_AND_LOCAL,4.2,1609,4.0M,"100,000+",Free,0,Everyone,"April 26, 2018"
"Expedia Hotels, Flights & Car Rental Travel Deals",TRAVEL_AND_LOCAL,4.1,136626,14M,"10,000,000+",Free,0,Everyone,"August 6, 2018"
"KAYAK Flights, Hotels & Cars",TRAVEL_AND_LOCAL,4.5,216388,19M,"10,000,000+",Free,0,Everyone,"July 31, 2018"
Skyscanner,TRAVEL_AND_LOCAL,4.5,481546,29M,"10,000,000+",Free,0,Everyone,"August 6, 2018"
IHG®: Hotel Deals & Rewards,TRAVEL_AND_LOCAL,4.3,18622,44M,"1,000,000+",Free,0,Everyone,"August 3, 2018"
SPG: Starwood Hotels & Resorts,TRAVEL_AND_LOCAL,4.2,8258,22M,"1,000,000+",Free,0,Everyone,"July 3, 2018"
Hostelworld: Hostels & Cheap Hotels Travel App,TRAVEL_AND_LOCAL,4.4,17878,28M,"1,000,000+",Free,0,Everyone,"July 16, 2018"
Hotels Combined - Cheap deals,TRAVEL_AND_LOCAL,4.1,17202,12M,"5,000,000+",Free,0,Everyone,"November 13, 2017"
Turo - Better Than Car Rental,TRAVEL_AND_LOCAL,4.4,14114,46M,"1,000,000+",Free,0,Everyone,"August 4, 2018"
Ascape VR: 360° Virtual Travel,TRAVEL_AND_LOCAL,4.1,890,7.6M,"100,000+",Free,0,Everyone,"August 9, 2017"
Skyscanner,TRAVEL_AND_LOCAL,4.5,481546,29M,"10,000,000+",Free,0,Everyone,"August 6, 2018"
GPS Status & Toolbox,TRAVEL_AND_LOCAL,4.5,149723,4.1M,"10,000,000+",Free,0,Everyone,"June 13, 2018"
Airport + Flight Tracker Radar,TRAVEL_AND_LOCAL,4.2,6762,8.5M,"1,000,000+",Free,0,Everyone,"July 14, 2015"
Scout GPS Navigation & Meet Up,TRAVEL_AND_LOCAL,4.2,120373,31M,"5,000,000+",Free,0,Everyone,"July 31, 2018"
Street Panorama View,TRAVEL_AND_LOCAL,4.2,40225,4.1M,"1,000,000+",Free,0,Everyone,"July 18, 2018"
DreamTrips,TRAVEL_AND_LOCAL,4.7,9971,22M,"500,000+",Free,0,Teen,"August 6, 2018"
Sygic Truck GPS Navigation,TRAVEL_AND_LOCAL,4.2,18294,28M,"1,000,000+",Free,0,Everyone,"August 2, 2018"
Moto File Manager,TOOLS,4.1,38655,5.9M,"10,000,000+",Free,0,Everyone,"February 1, 2018"
Motorola Alert,TOOLS,4.2,24199,3.9M,"50,000,000+",Free,0,Everyone,"November 21, 2014"
Cache Cleaner-DU Speed Booster (booster & cleaner),TOOLS,4.5,12759663,15M,"100,000,000+",Free,0,Everyone,"July 25, 2018"
Moto Suggestions ™,TOOLS,4.6,308,4.3M,"1,000,000+",Free,0,Everyone,"June 8, 2018"
myMetro,TOOLS,4.0,26189,5.3M,"10,000,000+",Free,0,Everyone,"June 27, 2018"
My Telcel,TOOLS,3.1,45838,16M,"50,000,000+",Free,0,Everyone,"July 25, 2018"
"Calculator - free calculator, multi calculator app",TOOLS,4.6,25592,7.5M,"10,000,000+",Free,0,Everyone,"July 31, 2018"
Android TV Remote Service,TOOLS,,1,3.7M,"1,000,000+",Free,0,Everyone,"January 17, 2018"
"Calculator - free calculator ,multi calculator app",TOOLS,4.4,1236,5.8M,"100,000+",Free,0,Everyone,"July 6, 2018"
SHAREit - Transfer & Share,TOOLS,4.6,7790693,17M,"500,000,000+",Free,0,Everyone,"July 30, 2018"
Files Go by Google: Free up space on your phone,TOOLS,4.6,315585,8.5M,"10,000,000+",Free,0,Everyone,"July 18, 2018"
Nokia mobile support,TOOLS,4.4,12215,9.1M,"5,000,000+",Free,0,Everyone,"August 1, 2018"
File Manager -- Take Command of Your Files Easily,TOOLS,4.2,127223,7.6M,"10,000,000+",Free,0,Everyone,"August 3, 2018"
Samsung Calculator,TOOLS,4.4,9602,2.5M,"100,000,000+",Free,0,Everyone,"July 5, 2018"
Clear,TOOLS,3.1,24151,15M,"10,000,000+",Free,0,Everyone,"August 6, 2018"
AT&T Smart Wi-Fi,TOOLS,3.9,18513,6.1M,"10,000,000+",Free,0,Everyone,"April 26, 2018"
Sound Recorder: Recorder & Voice Changer Free,TOOLS,3.9,14552,17M,"10,000,000+",Free,0,Everyone,"July 31, 2018"
TouchPal Keyboard for vivo,TOOLS,4.3,357,58M,"1,000,000+",Free,0,Everyone,"May 30, 2018"
Google Assistant Go,TOOLS,3.7,315,4.6M,"500,000+",Free,0,Everyone,"July 27, 2018"
My love,TOOLS,3.5,163997,16M,"10,000,000+",Free,0,Everyone,"August 5, 2018"
DuraSpeed,TOOLS,3.8,5431,1.3M,"10,000,000+",Free,0,Everyone,"November 13, 2017"
HTC Sense Input-LV,TOOLS,3.6,59,2.3M,"50,000+",Free,0,Everyone,"April 22, 2014"
HTC Sense Input-CA,TOOLS,3.1,124,1.9M,"100,000+",Free,0,Everyone,"April 22, 2014"
HTC Sense Input-AR,TOOLS,3.8,1420,2.7M,"100,000+",Free,0,Everyone,"April 22, 2014"
Digital Alarm Clock,TOOLS,4.2,118439,16M,"10,000,000+",Free,0,Everyone,"June 19, 2018"
Alarm Clock Free,TOOLS,4.0,59973,11M,"10,000,000+",Free,0,Everyone,"March 16, 2018"
Puzzle Alarm Clock ⏰,TOOLS,4.3,32111,5.3M,"1,000,000+",Free,0,Everyone,"August 3, 2018"
I Can't Wake Up! Alarm Clock,TOOLS,4.5,70404,4.2M,"1,000,000+",Free,0,Everyone,"May 25, 2018"
Brightest Flashlight - LED Light,TOOLS,4.5,876866,9.1M,"50,000,000+",Free,0,Everyone,"July 27, 2018"
LED Flashlight,TOOLS,4.4,207706,4.3M,"10,000,000+",Free,0,Everyone,"July 10, 2017"
"CM Flashlight (Compass, SOS)",TOOLS,4.4,166367,1.8M,"5,000,000+",Free,0,Everyone,"May 25, 2018"
Flashlight - Torch LED Light,TOOLS,4.4,192661,8.5M,"10,000,000+",Free,0,Everyone,"July 7, 2018"
Super Flashlight + LED,TOOLS,4.3,54207,4.4M,"5,000,000+",Free,0,Everyone,"July 11, 2017"
Brightest Flashlight Free ®,TOOLS,4.7,1335799,3.8M,"50,000,000+",Free,0,Everyone,"October 27, 2017"
Fraction Calculator Plus Free,TOOLS,4.5,148506,11M,"5,000,000+",Free,0,Everyone,"July 15, 2018"
CALCU™ Stylish Calculator Free,TOOLS,4.7,152692,11M,"5,000,000+",Free,0,Everyone,"July 7, 2018"
Calculator with Percent (Free),TOOLS,4.8,48211,7.4M,"1,000,000+",Free,0,Everyone,"November 18, 2017"
Graphing Calculator,TOOLS,3.9,12388,5.3M,"1,000,000+",Free,0,Everyone,"April 1, 2016"
Unit Converter,TOOLS,4.5,85387,5.4M,"1,000,000+",Free,0,Everyone,"July 3, 2018"
Calculator ++,TOOLS,4.6,33509,3.6M,"1,000,000+",Free,0,Everyone,"May 12, 2018"
ConvertPad - Unit Converter,TOOLS,4.4,90831,4.3M,"10,000,000+",Free,0,Everyone,"June 18, 2017"
Classic Calculator,TOOLS,4.0,85659,27M,"5,000,000+",Free,0,Everyone,"February 25, 2018"
weight conversion calculator,TOOLS,4.0,807,1.8M,"100,000+",Free,0,Everyone,"May 18, 2018"
Age Calculator,TOOLS,4.4,24265,3.3M,"1,000,000+",Free,0,Everyone,"July 25, 2017"
EzCalculator,TOOLS,4.1,1657,2.0M,"100,000+",Free,0,Everyone,"September 17, 2017"
SuperVPN Free VPN Client,TOOLS,4.3,576454,6.1M,"50,000,000+",Free,0,Everyone,"February 5, 2018"
Hideman VPN,TOOLS,4.1,88675,9.6M,"5,000,000+",Free,0,Everyone,"July 24, 2018"
Fast Secure VPN,TOOLS,4.3,56848,9.6M,"1,000,000+",Free,0,Everyone,"May 18, 2018"
Free & Premium VPN - FinchVPN,TOOLS,4.2,19096,10M,"1,000,000+",Free,0,Everyone,"July 5, 2018"
Hotspot Shield Free VPN Proxy & Wi-Fi Security,TOOLS,4.2,1116393,8.2M,"50,000,000+",Free,0,Everyone,"August 6, 2018"
OpenVPN Connect – Fast & Safe SSL VPN Client,TOOLS,4.2,154578,14M,"10,000,000+",Free,0,Everyone,"May 25, 2018"
"VPN - Fast, Secure & Unlimited WiFi with VyprVPN",TOOLS,4.2,40676,25M,"1,000,000+",Free,0,Everyone,"July 5, 2018"
FREEDOME VPN Unlimited anonymous Wifi Security,TOOLS,4.3,39833,9.9M,"1,000,000+",Free,0,Everyone,"July 9, 2018"
SurfEasy Secure Android VPN,TOOLS,4.5,273283,22M,"5,000,000+",Free,0,Everyone,"July 11, 2018"
VPN Free - Betternet Hotspot VPN & Private Browser,TOOLS,4.5,801054,8.9M,"10,000,000+",Free,0,Everyone,"August 1, 2018"
Smart Keyboard Trial,TOOLS,4.1,65597,2.4M,"10,000,000+",Free,0,Everyone,"April 28, 2017"
"Emoji keyboard - Cute Emoticons, GIF, Stickers",TOOLS,4.4,1107320,25M,"50,000,000+",Free,0,Everyone,"August 7, 2018"
Wifi Analyzer,TOOLS,4.4,335115,1.8M,"10,000,000+",Free,0,Everyone,"April 7, 2018"
Network Signal Info,TOOLS,4.1,33926,17M,"1,000,000+",Free,0,Everyone,"August 3, 2018"
osmino Wi-Fi: free WiFi,TOOLS,4.2,134203,4.1M,"10,000,000+",Free,0,Everyone,"August 6, 2018"
WiFi Overview 360,TOOLS,4.1,15693,18M,"1,000,000+",Free,0,Everyone,"August 3, 2018"
Speedcheck,TOOLS,4.6,48979,14M,"1,000,000+",Free,0,Everyone,"August 4, 2018"
NETGEAR WiFi Analytics,TOOLS,4.1,9496,696k,"1,000,000+",Free,0,Everyone,"April 25, 2014"
Keypad Lock Screen,TOOLS,4.2,428581,4.7M,"10,000,000+",Free,0,Everyone,"July 17, 2018"
photo keypad lockscreen,TOOLS,4.1,225544,8.1M,"10,000,000+",Free,0,Everyone,"July 17, 2018"
Solo Locker (DIY Locker),TOOLS,4.5,474439,7.9M,"10,000,000+",Free,0,Everyone,"June 26, 2018"
Lock Screen,TOOLS,4.0,41137,4.6M,"1,000,000+",Free,0,Everyone,"November 15, 2017"
ZERO Lock Screen,TOOLS,3.5,75336,544k,"1,000,000+",Free,0,Everyone,"February 5, 2016"
AppLock - Fingerprint,TOOLS,4.4,745245,3.5M,"10,000,000+",Free,0,Everyone,"April 13, 2018"
Screen Off and Lock,TOOLS,4.1,172990,525k,"10,000,000+",Free,0,Everyone,"December 2, 2017"
Screen Lock,TOOLS,4.2,68309,2.1M,"1,000,000+",Free,0,Everyone,"November 23, 2017"
Funny Ringtones,PERSONALIZATION,4.4,7146,14M,"1,000,000+",Free,0,Everyone 10+,"February 2, 2018"
"XOS - Launcher,Theme,Wallpaper",PERSONALIZATION,4.6,49657,8.7M,"5,000,000+",Free,0,Everyone,"August 6, 2018"
3D Live Neon Weed Launcher,PERSONALIZATION,4.5,1724,21M,"100,000+",Free,0,Mature 17+,"June 26, 2018"
Golden Launcher,PERSONALIZATION,4.4,32794,12M,"5,000,000+",Free,0,Everyone,"July 31, 2018"
Launcher,PERSONALIZATION,4.5,102923,18M,"1,000,000+",Free,0,Everyone,"July 10, 2018"
"CM Launcher 3D - Theme, Wallpapers, Efficient",PERSONALIZATION,4.6,6702776,17M,"100,000,000+",Free,0,Teen,"August 3, 2018"
4K Wallpapers and Ultra HD Backgrounds,PERSONALIZATION,4.6,7583,3.8M,"500,000+",Free,0,Everyone 10+,"July 4, 2018"
Birds Sounds Ringtones & Wallpapers,PERSONALIZATION,4.6,5073,23M,"1,000,000+",Free,0,Everyone 10+,"September 25, 2017"
Funny Alarm Clock Ringtones,PERSONALIZATION,4.5,15633,14M,"1,000,000+",Free,0,Everyone,"March 9, 2017"
ZenUI Launcher,PERSONALIZATION,4.7,1141545,15M,"50,000,000+",Free,0,Everyone,"July 31, 2018"
"Color Call - Caller Screen, LED Flash",PERSONALIZATION,4.7,29485,9.9M,"1,000,000+",Free,0,Everyone,"July 20, 2018"
New Launcher 2018,PERSONALIZATION,4.4,142393,12M,"10,000,000+",Free,0,Everyone,"July 31, 2018"
Diamond Zipper Lock Screen,PERSONALIZATION,4.3,71688,12M,"10,000,000+",Free,0,Everyone,"June 11, 2018"
"Emoji Keyboard - Cute Emoji,GIF, Sticker, Emoticon",PERSONALIZATION,4.7,114851,20M,"10,000,000+",Free,0,Everyone,"July 20, 2018"
3D Blue Glass Water Keyboard Theme,PERSONALIZATION,4.1,62209,7.4M,"10,000,000+",Free,0,Everyone,"July 1, 2018"
Backgrounds (HD Wallpapers),PERSONALIZATION,4.7,202474,3.0M,"10,000,000+",Free,0,Teen,"August 9, 2017"
New 2018 Keyboard,PERSONALIZATION,4.6,298321,14M,"10,000,000+",Free,0,Everyone,"August 5, 2018"
"APUS Launcher - Theme, Wallpaper, Hide Apps",PERSONALIZATION,4.5,5783441,14M,"100,000,000+",Free,0,Everyone,"August 6, 2018"
ZenUI Themes – Stylish Themes,PERSONALIZATION,4.4,47393,7.2M,"10,000,000+",Free,0,Everyone,"May 24, 2018"
"Keyboard - wallpapers , photos",PERSONALIZATION,4.4,55525,22M,"10,000,000+",Free,0,Everyone,"February 26, 2018"
Lovely Cute Pink Kitty Cat Keyboard Theme,PERSONALIZATION,4.3,2267,7.2M,"500,000+",Free,0,Everyone,"July 9, 2018"
Microsoft Launcher,PERSONALIZATION,4.6,649568,26M,"10,000,000+",Free,0,Everyone,"August 1, 2018"
Goku Wallpaper Art,PERSONALIZATION,4.7,6342,38M,"1,000,000+",Free,0,Everyone,"July 13, 2018"
Door Lock Screen,PERSONALIZATION,4.3,5413,3.9M,"1,000,000+",Free,0,Everyone,"July 28, 2018"
Cute wallpapers & kawaii backgrounds images,PERSONALIZATION,4.6,4724,5.4M,"1,000,000+",Free,0,Everyone,"July 30, 2018"
ASUS Cover for ZenFone 2,PERSONALIZATION,4.4,43960,9.8M,"10,000,000+",Free,0,Everyone,"December 1, 2017"
"Hola Launcher- Theme,Wallpaper",PERSONALIZATION,4.5,3277209,7.6M,"100,000,000+",Free,0,Everyone,"May 9, 2018"
OnePlus Icon Pack - Square,PERSONALIZATION,4.7,229,1.1M,"500,000+",Free,0,Everyone,"May 23, 2018"
Live 3D Neon Blue Love Heart Keyboard Theme,PERSONALIZATION,4.3,6626,9.1M,"1,000,000+",Free,0,Everyone,"July 25, 2018"
Pink Diamond Princess Keyboard Theme,PERSONALIZATION,3.7,10796,6.8M,"1,000,000+",Free,0,Everyone,"July 6, 2018"
"Wallpapers HD, 4K Backgrounds",PERSONALIZATION,4.7,273994,12M,"10,000,000+",Free,0,Everyone,"July 23, 2018"
Photo Lock App - Hide Pictures & Videos,PERSONALIZATION,4.5,29203,3.3M,"5,000,000+",Free,0,Everyone,"December 10, 2017"
Romantic Love Photo Frames,PERSONALIZATION,4.4,18918,12M,"5,000,000+",Free,0,Everyone,"June 19, 2018"
Colorful Glitter Neon Butterfly Keyboard Theme,PERSONALIZATION,4.3,2056,9.8M,"500,000+",Free,0,Everyone,"July 25, 2018"
OnePlus Icon Pack,PERSONALIZATION,4.8,440,920k,"500,000+",Free,0,Everyone,"May 23, 2018"
Water Garden Live Wallpaper,PERSONALIZATION,4.6,66453,14M,"5,000,000+",Free,0,Everyone,"April 10, 2018"
Water Droplets Keyboard Theme,PERSONALIZATION,4.1,398,6.8M,"100,000+",Free,0,Everyone,"June 29, 2018"
"FUN Keyboard – Emoji Keyboard, Sticker,Theme & GIF",PERSONALIZATION,4.7,12089,27M,"500,000+",Free,0,Everyone,"July 3, 2018"
Freeme Launcher—Stylish Theme,PERSONALIZATION,4.1,2828,7.4M,"100,000+",Free,0,Everyone,"January 22, 2017"
Ringtones & Wallpapers for Me,PERSONALIZATION,4.2,89342,29M,"10,000,000+",Free,0,Everyone,"January 30, 2018"
Zooper Widget,PERSONALIZATION,4.0,30498,5.9M,"1,000,000+",Free,0,Everyone,"March 11, 2015"
Beautiful Widgets Pro,PERSONALIZATION,4.2,97890,14M,"1,000,000+",Paid,$2.49,Everyone,"August 24, 2016"
Beautiful Widgets Free,PERSONALIZATION,3.9,25037,14M,"1,000,000+",Free,0,Everyone,"October 20, 2016"
HD Widgets,PERSONALIZATION,4.3,58617,26M,"1,000,000+",Paid,$0.99,Everyone,"December 7, 2016"
DashClock Widget,PERSONALIZATION,4.1,62301,1.9M,"1,000,000+",Free,0,Everyone,"May 11, 2016"
Fancy Widgets,PERSONALIZATION,4.2,37237,3.9M,"5,000,000+",Free,0,Everyone,"April 4, 2014"
Kairo XP (for HD Widgets),PERSONALIZATION,4.4,1591,779k,"10,000+",Paid,$0.99,Everyone,"January 7, 2015"
Best Wallpapers QHD,PERSONALIZATION,4.4,294701,5.1M,"10,000,000+",Free,0,Teen,"March 17, 2018"
Dog Licks Screen Wallpaper,PERSONALIZATION,4.3,63624,10M,"5,000,000+",Free,0,Everyone,"November 20, 2017"
Waterfall Live Wallpaper,PERSONALIZATION,4.1,112977,13M,"10,000,000+",Free,0,Everyone,"May 22, 2018"
Galaxy Live Wallpaper,PERSONALIZATION,4.2,58052,4.0M,"5,000,000+",Free,0,Teen,"September 14, 2017"
Northern Lights FREE (Aurora),PERSONALIZATION,4.1,12180,5.4M,"1,000,000+",Free,0,Everyone,"December 24, 2016"
Flowers Live Wallpaper,PERSONALIZATION,4.1,118459,3.3M,"10,000,000+",Free,0,Everyone,"October 27, 2017"
Petals 3D live wallpaper,PERSONALIZATION,4.2,112479,4.3M,"10,000,000+",Free,0,Everyone,"July 25, 2018"
Galactic Core Free Wallpaper,PERSONALIZATION,4.1,69417,853k,"10,000,000+",Free,0,Everyone,"May 1, 2014"
LINE Launcher,PERSONALIZATION,4.4,733838,21M,"10,000,000+",Free,0,Everyone,"June 29, 2018"
Asteroids 3D live wallpaper,PERSONALIZATION,4.1,157495,6.4M,"10,000,000+",Free,0,Everyone,"July 24, 2018"
Sun Rise Free Live Wallpaper,PERSONALIZATION,4.3,86481,8.6M,"10,000,000+",Free,0,Everyone,"January 31, 2018"
Wallpapers HD,PERSONALIZATION,4.6,484981,2.1M,"10,000,000+",Free,0,Everyone,"November 28, 2016"
Tiger Live Wallpaper,PERSONALIZATION,4.1,77724,7.1M,"5,000,000+",Free,0,Teen,"May 31, 2018"
Pink Roses Live Wallpaper,PERSONALIZATION,4.2,33074,3.3M,"1,000,000+",Free,0,Everyone,"May 4, 2018"
Butterfly Live Wallpaper,PERSONALIZATION,4.1,35771,3.5M,"5,000,000+",Free,0,Everyone,"May 4, 2018"
Koi Free Live Wallpaper,PERSONALIZATION,4.2,290241,4.1M,"50,000,000+",Free,0,Everyone,"June 24, 2014"
Wallpaper,PERSONALIZATION,4.5,69488,9.7M,"1,000,000+",Free,0,Everyone,"July 8, 2018"
Wolves Live Wallpaper,PERSONALIZATION,4.3,10401,3.3M,"1,000,000+",Free,0,Everyone,"October 27, 2017"
Horses Live Wallpaper,PERSONALIZATION,4.2,28806,7.1M,"1,000,000+",Free,0,Everyone,"May 22, 2018"
Tropical Beach Live Wallpaper,PERSONALIZATION,4.0,11343,8.4M,"1,000,000+",Free,0,Everyone,"May 22, 2018"
Glowing Flowers Live Wallpaper,PERSONALIZATION,4.2,66730,7.0M,"5,000,000+",Free,0,Everyone,"May 21, 2018"
Dolphins Live Wallpaper,PERSONALIZATION,4.2,25807,5.5M,"1,000,000+",Free,0,Everyone,"October 29, 2017"
Buzz Launcher-Smart&Free Theme,PERSONALIZATION,4.4,251616,13M,"10,000,000+",Free,0,Everyone,"November 13, 2017"
BIG Launcher,PERSONALIZATION,4.3,881,5.9M,"10,000+",Paid,$9.99,Everyone,"June 20, 2018"
"iKeyboard - emoji, emoticons",PERSONALIZATION,4.5,624924,24M,"10,000,000+",Free,0,Everyone,"August 1, 2018"
Simple Neon Blue Future Tech Keyboard Theme,PERSONALIZATION,4.1,51145,6.2M,"10,000,000+",Free,0,Everyone,"June 28, 2018"
TouchPal Purple Butterfly Theme,PERSONALIZATION,4.2,7435,6.9M,"1,000,000+",Free,0,Everyone,"June 28, 2018"
Lavender Emoji Keyboard Theme,PERSONALIZATION,4.1,12008,6.1M,"1,000,000+",Free,0,Everyone,"May 27, 2016"
"AVG Cleaner – Speed, Battery & Memory Booster",PRODUCTIVITY,4.4,1188154,24M,"10,000,000+",Free,0,Everyone,"June 14, 2018"
QR Scanner & Barcode Scanner 2018,PRODUCTIVITY,3.8,8226,4.1M,"10,000,000+",Free,0,Everyone,"July 20, 2018"
Microsoft Outlook,PRODUCTIVITY,4.3,3252896,50M,"100,000,000+",Free,0,Everyone,"August 2, 2018"
My Claro Peru,PRODUCTIVITY,3.2,11200,11M,"5,000,000+",Free,0,Everyone,"July 23, 2018"
Power Booster - Junk Cleaner & CPU Cooler & Boost,PRODUCTIVITY,4.5,9653,5.1M,"1,000,000+",Free,0,Everyone,"August 6, 2018"
Google Assistant,PRODUCTIVITY,4.2,58675,1.3M,"10,000,000+",Free,0,Everyone,"March 9, 2018"
Archos File Manager,PRODUCTIVITY,4.0,2131,2.3M,"5,000,000+",Free,0,Everyone,"April 22, 2016"
ES File Explorer File Manager,PRODUCTIVITY,4.6,5383985,16M,"100,000,000+",Free,0,Everyone,"August 3, 2018"
MyMTN,PRODUCTIVITY,4.0,8550,15M,"1,000,000+",Free,0,Everyone,"July 25, 2018"
Dropbox,PRODUCTIVITY,4.4,1861310,61M,"500,000,000+",Free,0,Everyone,"August 1, 2018"
ASUS Quick Memo,PRODUCTIVITY,4.5,23089,1.6M,"10,000,000+",Free,0,Everyone,"April 11, 2018"
lifebox,PRODUCTIVITY,4.2,56403,49M,"5,000,000+",Free,0,Everyone,"July 27, 2018"
Content Transfer,PRODUCTIVITY,4.7,19302,7.2M,"5,000,000+",Free,0,Everyone,"June 28, 2018"
Advanced Task Killer,PRODUCTIVITY,4.4,577059,1.5M,"50,000,000+",Free,0,Everyone,"August 7, 2016"
Microsoft Translator,PRODUCTIVITY,4.6,209696,49M,"5,000,000+",Free,0,Everyone,"June 18, 2018"
"My Airtel-Online Recharge, Pay Bill, Wallet, UPI",PRODUCTIVITY,4.3,1498393,14M,"50,000,000+",Free,0,Everyone,"August 2, 2018"
Hacker's Keyboard,PRODUCTIVITY,4.4,41418,1.2M,"1,000,000+",Free,0,Everyone,"December 11, 2016"
Security & Privacy,PRODUCTIVITY,4.0,212,10.0M,"1,000,000+",Free,0,Everyone,"April 26, 2018"
7 Weeks - Habit & Goal Tracker,PRODUCTIVITY,4.4,6011,4.3M,"500,000+",Free,0,Everyone,"December 19, 2015"
Loop - Habit Tracker,PRODUCTIVITY,4.7,17955,3.8M,"1,000,000+",Free,0,Everyone,"May 23, 2018"
Keeper: Free Password Manager & Secure Vault,PRODUCTIVITY,4.2,74146,32M,"10,000,000+",Free,0,Everyone,"July 16, 2018"
Pushbullet - SMS on PC,PRODUCTIVITY,4.5,176873,4.5M,"1,000,000+",Free,0,Everyone,"October 30, 2017"
Planner Pro-Personal Organizer,PRODUCTIVITY,4.0,10270,8.4M,"1,000,000+",Free,0,Everyone,"March 23, 2018"
Todoist: To-do lists for task management & errands,PRODUCTIVITY,4.5,155999,12M,"10,000,000+",Free,0,Everyone,"August 5, 2018"
Cozi Family Organizer,PRODUCTIVITY,4.4,56713,25M,"1,000,000+",Free,0,Everyone,"July 5, 2018"
Trello,PRODUCTIVITY,4.5,72513,12M,"5,000,000+",Free,0,Everyone,"July 18, 2018"
Easy Voice Recorder,PRODUCTIVITY,4.4,205191,7.1M,"10,000,000+",Free,0,Everyone,"June 20, 2018"
ES File Explorer File Manager,PRODUCTIVITY,4.6,5383971,16M,"100,000,000+",Free,0,Everyone,"August 3, 2018"
Solid Explorer Classic,PRODUCTIVITY,4.5,49794,6.5M,"1,000,000+",Free,0,Everyone,"June 17, 2017"
File Browser by Astro (File Manager),PRODUCTIVITY,4.3,609182,9.2M,"50,000,000+",Free,0,Everyone,"July 2, 2018"
File Explorer,PRODUCTIVITY,4.1,979,720k,"100,000+",Free,0,Everyone,"September 30, 2013"
The Maner,PRODUCTIVITY,4.2,53015,2.2M,"5,000,000+",Free,0,Everyone,"November 12, 2017"
Smart File Manager,PRODUCTIVITY,4.2,17415,4.1M,"1,000,000+",Free,0,Everyone,"July 5, 2018"
"Polaris Office - Word, Docs, Sheets, Slide, PDF",PRODUCTIVITY,4.3,549900,60M,"10,000,000+",Free,0,Everyone,"July 18, 2018"
"WPS Office - Word, Docs, PDF, Note, Slide & Sheet",PRODUCTIVITY,4.5,1508137,37M,"100,000,000+",Free,0,Everyone,"July 30, 2018"
Simple Notepad,PRODUCTIVITY,4.3,12321,713k,"1,000,000+",Free,0,Everyone,"December 25, 2016"
Keep My Notes - Notepad & Memo,PRODUCTIVITY,4.6,122424,4.7M,"5,000,000+",Free,0,Everyone,"March 16, 2018"
Sticky Note + : Sync Notes,PRODUCTIVITY,4.2,21507,6.6M,"1,000,000+",Free,0,Everyone,"August 31, 2017"
Notepad,PRODUCTIVITY,4.2,80581,2.5M,"10,000,000+",Free,0,Everyone,"October 16, 2016"
Squid - Take Notes & Markup PDFs,PRODUCTIVITY,4.2,37204,19M,"1,000,000+",Free,0,Everyone,"July 21, 2018"
Notepad & To do list,PRODUCTIVITY,4.3,226295,4.2M,"10,000,000+",Free,0,Everyone,"June 6, 2018"
"JotterPad - Writer, Screenplay, Novel",PRODUCTIVITY,4.6,57904,11M,"1,000,000+",Free,0,Everyone,"July 1, 2018"
Todoist: To-do lists for task management & errands,PRODUCTIVITY,4.5,155999,12M,"10,000,000+",Free,0,Everyone,"August 5, 2018"
Calendar+ Schedule Planner App,PRODUCTIVITY,4.0,8985,5.7M,"1,000,000+",Free,0,Everyone,"January 16, 2017"
Today Calendar 2017,PRODUCTIVITY,4.2,16349,9.0M,"1,000,000+",Free,0,Everyone,"April 25, 2016"
New Calendar,PRODUCTIVITY,4.5,25985,6.9M,"1,000,000+",Free,0,Everyone,"July 20, 2018"
Planner Pro-Personal Organizer,PRODUCTIVITY,4.0,10270,8.4M,"1,000,000+",Free,0,Everyone,"March 23, 2018"
Calendar Widget Month + Agenda,PRODUCTIVITY,4.2,60840,1.9M,"5,000,000+",Free,0,Everyone,"May 31, 2018"
Business Calendar 2,PRODUCTIVITY,4.6,102594,15M,"5,000,000+",Free,0,Everyone,"July 23, 2018"
Unclouded - Cloud Manager,PRODUCTIVITY,4.1,6850,11M,"100,000+",Free,0,Everyone,"August 8, 2016"
Dropbox,PRODUCTIVITY,4.4,1861309,61M,"500,000,000+",Free,0,Everyone,"August 1, 2018"
Amazon Drive,PRODUCTIVITY,4.4,18669,4.1M,"1,000,000+",Free,0,Everyone,"January 8, 2018"
